ramp,Asc.ver,Cus.glo,Dal.can,Des.ill,Hel.rig,Mon.fis,Oxa.str,Phy.pum,Rue.hum,Sch.nut,Sis.cam,Amb.art,Phy.vir,Car.spp,Dic.oli,And.ger,And.sco,Bou.cur,Pan.vir,Sor.nut,Spo.asp,Tri.dac,Amb.art,Amb.psi,Amo.can,Ast.eri,Eup.ser,Kuh.eup,Les.cap,Ros.ark,Rue.sp,Sal.leu,Sol.can,Sol.mis,Sol.rig,Sym.orb,Teu.can,Ver.bal
11,0.5,0,0,0,0,0,0,2,0,0,0,1,0,5,2.25,75,5.5,0,0,11.25,2.25,0,0,0,0,0.75,0.75,0,0,0,0,0,12.5,0.75,11.25,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,1.75,2,4.5,2.25,42.5,15.5,0,0,7,2.25,0,0,0,0,0.5,0.25,0,0,0,0,0,19.25,0,0,0,0,1.25
13,1.75,0,0.25,0,4.5,0,0.25,0,0,5.75,0,0.75,1.25,5.5,2.25,70,0,0,0,7,4.75,0,0,0,0,1.25,0,0,0,0,0,0,7.5,0,0,0,1.5,0
14,0.75,0,0,0,37.5,0,0,0,0,0,0,0.75,1.25,3,0,70,0,0,0,4.5,0.25,0,0,0,0,0,0.75,0.75,0,0.5,0,0.25,7.5,0,0,0,0,0.5
15,0,0,0,0,0,0,0.25,2.5,0.5,8,0,0.75,0,2.25,1.5,96.25,0,0,1.25,4.75,0.5,0,0,0,0,0,0.5,0,0,0,0.5,3,4.5,0,0,0,0.25,0
1,0.25,0,0,0,0,0,0.25,1.25,0,2.5,0,0,0,1.75,0.75,87.5,0,0,7,17.5,0,0,0,0,0,0,0,0,0,0,0,0,10.75,0,0,1.25,0,0
2,0.25,0,0.75,0,0,0,0.25,2.75,0,0,0,0,0,2.5,0.5,60,35,2,0,8.75,0,0,0,0,0,1.25,0.25,1.25,0,0,0,0.25,0.75,50,0,0,0,1.25
3,0.25,0,2.5,0,4.75,0,0,3.5,0,0,0.25,0,0,1,1,87.5,1.25,0.25,0,17.5,1.25,0,0.25,0,0,1.75,0.25,0,0,0,0,0,10,0,0.5,0,0,0
4,0,0,0,1.25,6.5,17.5,0,1.25,0,0,0,0,0,5,1.75,85,3,0,0,17,3.5,0,0,0,0,3,0,0.25,0,3.75,0,5.75,2.5,0,0,0,0,0
5,0.25,0.25,5.5,0,0,0,0.25,2.5,0,0,0,0,0,5.25,1.25,97.5,0,0,3.25,7.5,0,0.25,0.25,0,1.25,0,0,0.25,0,7,0,0,5,0,0,2,0,0
6,0.75,0,3,3,0,0,0,0.75,1.5,0,0.25,0,0,4.5,1.25,97.5,4,0.25,0,7,1.25,0,0,0,0,0.25,0,0,0.25,0,0,3.25,20,0,0,0,0,1.75
7,0.75,0,1.25,0,0,0,0,2,0,11.25,0,0,0,3,2,100,0.25,0,0,4,0.25,0,0,0,0,1.25,0,0,0,0,0,3.75,1.5,2.25,0,0,0,0.5
8,1.25,0,0,0,0,0,0.25,0.5,0,1,0,0,0,1.5,0,95,0.5,0.25,0,12,0.5,0,0,0,0,1,0,0,0,0,0,10.25,7.75,3,0,0,0,0
9,1.5,0,2,0,0,0,0.25,1.5,0,0,0.5,3.75,0,1,1.25,82.5,3.25,1.5,0,10,0.75,0,0,0.25,2.25,0.75,0,0.5,0,0,1.25,0,3.5,0,1.25,0,0,3.25
10,0.75,0,5,0,0,0,0,2.5,0,0,0,0,0,2.75,1.25,67.5,23.75,1,1.25,1,1.25,1,0,0,12.5,0.25,0,3,6.25,0,0.5,0,1.25,12.5,15,0,0,0
11,0.5,0.25,0,0,0,0,0.25,1.5,0,0,0,0.25,0,4.25,1,46.25,16.5,0,0,41.25,1,0,0,0.25,0,0,0.5,0,1.25,0,0,0,5.75,0,18.75,0,0,1.25
12,0,0,0,0,0,0,0,2.75,0,0,0,0.5,0,4.5,1.75,78.75,25,0,0.5,5.75,2.25,0,0,0,0.25,1.5,0.75,0,0.5,0,0,0,22.5,0,0,0,0,0
13,1.75,0,0.5,0,5,0,0.75,1.75,0,3,0,0.25,0,5,1.75,86.25,0,0.25,0,13.75,2,0,0,0,0,0.5,0.75,0,0,0,0,0,5.75,0,0,0,2.5,0
14,0,0,0,0,33.75,0,0,1.5,0,0,0,0,0,2.5,0.75,76.25,0,0,1.5,18.75,0.5,0,0,0,0,0,1,0.75,0,0,0,0,8.75,0,0,0,0,0
15,0,0,0,0,0.25,0,0,1.75,0.25,5,0,0,0,2.5,1,92.5,0.25,0.5,2,7.5,0.75,0,0,0,0,0,1,0,0,0,0,2,5.75,0,0,0,0,0
1,0,0,0,0,0,0,0,0.5,0,5,0.5,0.25,0,2,0.25,87.5,0,0,7,16.25,0,0,0,0.25,0,0,0,0,0,0,0,0,6.75,0,0,0.75,0,0
2,0,0,0.5,0,0,0,0,1.25,0,0,0,0.25,0,2.5,0.5,70,23.25,0.75,0,12.5,3.75,0,0,0.25,0,1,0,2.5,0,0,0,0.25,0.75,47.5,0,0,0,1.25
3,0,0,0,0,4.25,0.25,0,2.75,0,0,0,0,0,1,1.75,88.75,1.25,0.25,0,11.25,4.75,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0
4,0,0,0,2.5,5,4,0,1.25,0,0,0,0,0,6.25,1.5,0,2.5,0,0.5,11.75,1.5,0,0,0,0,2.25,0,0,0,3.75,0,7,2.5,0,0,0,0,0
